Family,Run,TN,FN,TP,FP
conficker,7,48,8,42,2
conficker,8,50,9,41,0
conficker,9,48,10,40,2
conficker,10,49,6,44,1
conficker,11,49,6,44,1
conficker,12,49,10,40,1
conficker,13,49,7,43,1
conficker,14,50,9,41,0
conficker,15,49,14,36,1
conficker,16,49,7,43,1
conficker,17,49,6,44,1
conficker,18,49,11,39,1
conficker,19,50,11,39,0
conficker,20,49,13,37,1
conficker,21,50,9,41,0
conficker,22,48,11,39,2
conficker,23,49,5,45,1
conficker,24,47,12,38,3
conficker,25,50,11,39,0
conficker,26,46,14,36,4
conficker,27,49,5,45,1
conficker,28,48,15,35,2
conficker,29,47,7,43,3
corebot,0,48,0,50,2
corebot,1,46,0,50,4
corebot,2,49,0,50,1
corebot,3,48,0,50,2
corebot,4,49,0,50,1
corebot,5,48,0,50,2
corebot,6,49,0,50,1
corebot,7,49,0,50,1
corebot,8,49,0,50,1
corebot,9,48,0,50,2
corebot,10,49,0,50,1
corebot,11,49,0,50,1
corebot,12,49,0,50,1
corebot,13,49,0,50,1
corebot,14,49,0,50,1
corebot,15,48,0,50,2
corebot,16,49,0,50,1
corebot,17,49,0,50,1
corebot,18,49,0,50,1
corebot,19,50,0,50,0
corebot,20,49,0,50,1
corebot,21,50,0,50,0
corebot,22,49,0,50,1
corebot,23,49,0,50,1
corebot,24,47,0,50,3
corebot,25,49,0,50,1
corebot,26,46,0,50,4
corebot,27,49,0,50,1
corebot,28,49,0,50,1
corebot,29,46,0,50,4
cryptolocker,0,48,0,50,2
cryptolocker,1,46,0,50,4
cryptolocker,2,49,0,50,1
cryptolocker,3,47,0,50,3
cryptolocker,4,49,0,50,1
cryptolocker,5,50,0,50,0
cryptolocker,6,47,0,50,3
cryptolocker,7,49,0,50,1
cryptolocker,8,49,0,50,1
cryptolocker,9,48,0,50,2
cryptolocker,10,49,0,50,1
cryptolocker,11,50,0,50,0
cryptolocker,12,48,0,50,2
cryptolocker,13,49,0,50,1
cryptolocker,14,49,0,50,1
cryptolocker,15,49,0,50,1
cryptolocker,16,47,0,50,3
cryptolocker,17,49,0,50,1
cryptolocker,18,49,0,50,1
cryptolocker,19,50,0,50,0
cryptolocker,20,49,0,50,1
cryptolocker,21,50,0,50,0
cryptolocker,22,49,0,50,1
cryptolocker,23,50,0,50,0
cryptolocker,24,48,0,50,2
cryptolocker,25,49,0,50,1
cryptolocker,26,48,0,50,2
cryptolocker,27,50,0,50,0
cryptolocker,28,49,0,50,1
cryptolocker,29,46,1,49,4
deception,0,50,0,50,0
deception,1,48,0,50,2
deception,2,49,0,50,1
deception,3,46,1,49,4
deception,4,49,0,50,1
deception,5,50,0,50,0
deception,6,49,0,50,1
deception,7,49,0,50,1
deception,8,50,0,50,0
deception,9,48,0,50,2
deception,10,50,1,49,0
deception,11,50,0,50,0
deception,12,50,0,50,0
deception,13,49,0,50,1
deception,14,50,0,50,0
deception,15,49,0,50,1
deception,16,48,0,50,2
deception,17,49,0,50,1
deception,18,50,1,49,0
deception,19,50,1,49,0
deception,20,50,0,50,0
deception,21,50,1,49,0
deception,22,48,0,50,2
deception,23,50,0,50,0
deception,24,48,0,50,2
deception,25,49,0,50,1
deception,26,45,0,50,5
deception,27,49,0,50,1
deception,28,49,0,50,1
deception,29,44,0,50,6
dircrypt,0,50,0,50,0
dircrypt,1,48,1,49,2
dircrypt,2,48,1,49,2
dircrypt,3,48,2,48,2
dircrypt,4,49,0,50,1
dircrypt,5,50,0,50,0
dircrypt,6,49,1,49,1
dircrypt,7,49,1,49,1
dircrypt,8,50,1,49,0
dircrypt,9,48,1,49,2
dircrypt,10,49,1,49,1
dircrypt,11,49,2,48,1
dircrypt,12,49,0,50,1
dircrypt,13,49,2,48,1
dircrypt,14,50,0,50,0
dircrypt,15,48,1,49,2
dircrypt,16,48,1,49,2
dircrypt,17,48,1,49,2
dircrypt,18,49,1,49,1
dircrypt,19,49,1,49,1
dircrypt,20,50,3,47,0
dircrypt,21,50,0,50,0
dircrypt,22,48,0,50,2
dircrypt,23,50,0,50,0
dircrypt,24,47,0,50,3
dircrypt,25,50,2,48,0
dircrypt,26,48,1,49,2
dircrypt,27,48,0,50,2
dircrypt,28,49,1,49,1
dircrypt,29,45,0,50,5
dnschanger,0,49,2,48,1
dnschanger,1,48,1,49,2
dnschanger,2,49,0,50,1
dnschanger,3,47,1,49,3
dnschanger,4,49,2,48,1
dnschanger,5,50,0,50,0
dnschanger,6,48,1,49,2
dnschanger,7,49,1,49,1
dnschanger,8,50,1,49,0
dnschanger,9,48,1,49,2
dnschanger,10,49,0,50,1
dnschanger,11,49,1,49,1
dnschanger,12,47,4,46,3
dnschanger,13,48,1,49,2
dnschanger,14,49,1,49,1
dnschanger,15,48,2,48,2
dnschanger,16,50,2,48,0
dnschanger,17,49,1,49,1
dnschanger,18,49,1,49,1
dnschanger,19,49,0,50,1
dnschanger,20,49,2,48,1
dnschanger,21,50,1,49,0
dnschanger,22,48,1,49,2
dnschanger,23,50,0,50,0
dnschanger,24,49,1,49,1
dnschanger,25,49,1,49,1
dnschanger,26,47,1,49,3
dnschanger,27,49,0,50,1
dnschanger,28,49,0,50,1
dnschanger,29,46,0,50,4
dyre,0,49,0,50,1
dyre,1,47,0,50,3
dyre,2,49,0,50,1
dyre,3,47,0,50,3
dyre,4,49,0,50,1
dyre,5,50,0,50,0
dyre,6,48,0,50,2
dyre,7,49,0,50,1
dyre,8,50,0,50,0
dyre,9,48,0,50,2
dyre,10,49,0,50,1
dyre,11,49,0,50,1
dyre,12,49,0,50,1
dyre,13,49,0,50,1
dyre,14,49,0,50,1
dyre,15,48,0,50,2
dyre,16,50,0,50,0
dyre,17,49,0,50,1
dyre,18,49,0,50,1
dyre,19,49,0,50,1
dyre,20,49,0,50,1
dyre,21,49,0,50,1
dyre,22,48,0,50,2
dyre,23,50,0,50,0
dyre,24,49,0,50,1
dyre,25,49,0,50,1
dyre,26,46,0,50,4
dyre,27,49,0,50,1
dyre,28,48,0,50,2
dyre,29,45,0,50,5
emotet,0,49,0,50,1
emotet,1,48,0,50,2
emotet,2,49,0,50,1
emotet,3,49,0,50,1
emotet,4,49,0,50,1
emotet,5,48,0,50,2
emotet,6,49,0,50,1
emotet,7,47,0,50,3
emotet,8,49,0,50,1
emotet,9,48,0,50,2
emotet,10,48,0,50,2
emotet,11,50,0,50,0
emotet,12,50,0,50,0
emotet,13,48,0,50,2
emotet,14,48,0,50,2
emotet,15,49,0,50,1
emotet,16,48,0,50,2
emotet,17,49,0,50,1
emotet,18,49,0,50,1
emotet,19,49,0,50,1
emotet,20,49,0,50,1
emotet,21,49,0,50,1
emotet,22,50,0,50,0
emotet,23,50,0,50,0
emotet,24,48,0,50,2
emotet,25,50,0,50,0
emotet,26,48,0,50,2
emotet,27,49,0,50,1
emotet,28,49,0,50,1
emotet,29,45,0,50,5
fobber,0,49,0,50,1
fobber,1,48,0,50,2
fobber,2,50,0,50,0
fobber,3,47,0,50,3
fobber,4,49,0,50,1
fobber,5,49,0,50,1
fobber,6,49,0,50,1
fobber,7,48,0,50,2
fobber,8,49,0,50,1
fobber,9,48,0,50,2
fobber,10,49,0,50,1
fobber,11,50,0,50,0
fobber,12,49,0,50,1
fobber,13,49,0,50,1
fobber,14,50,0,50,0
fobber,15,47,0,50,3
fobber,16,48,0,50,2
fobber,17,49,0,50,1
fobber,18,49,0,50,1
fobber,19,50,0,50,0
fobber,20,49,0,50,1
fobber,21,50,0,50,0
fobber,22,49,0,50,1
fobber,23,50,0,50,0
fobber,24,49,0,50,1
fobber,25,49,0,50,1
fobber,26,49,0,50,1
fobber,27,49,0,50,1
fobber,28,48,0,50,2
fobber,29,45,0,50,5
gameover,0,50,0,50,0
gameover,1,45,0,50,5
gameover,2,49,0,50,1
gameover,3,48,0,50,2
gameover,4,49,0,50,1
gameover,5,49,0,50,1
gameover,6,49,0,50,1
gameover,7,50,0,50,0
gameover,8,50,0,50,0
gameover,9,48,0,50,2
gameover,10,48,0,50,2
gameover,11,48,0,50,2
gameover,12,48,0,50,2
gameover,13,49,0,50,1
gameover,14,47,0,50,3
gameover,15,48,0,50,2
gameover,16,49,0,50,1
gameover,17,48,0,50,2
gameover,18,49,0,50,1
gameover,19,50,0,50,0
gameover,20,50,0,50,0
gameover,21,50,0,50,0
gameover,22,47,0,50,3
gameover,23,49,0,50,1
gameover,24,48,0,50,2
gameover,25,49,0,50,1
gameover,26,48,0,50,2
gameover,27,48,0,50,2
gameover,28,49,0,50,1
gameover,29,46,0,50,4
gozi,0,49,3,47,1
gozi,1,49,1,49,1
gozi,2,49,2,48,1
gozi,3,48,4,46,2
gozi,4,49,2,48,1
gozi,5,50,1,49,0
gozi,6,48,1,49,2
gozi,7,49,0,50,1
gozi,8,49,1,49,1
gozi,9,48,5,45,2
gozi,10,49,2,48,1
gozi,11,49,2,48,1
gozi,12,50,1,49,0
gozi,13,49,5,45,1
gozi,14,50,1,49,0
gozi,15,48,1,49,2
gozi,16,47,2,48,3
gozi,17,49,2,48,1
gozi,18,49,3,47,1
gozi,19,50,2,48,0
gozi,20,50,2,48,0
gozi,21,49,3,47,1
gozi,22,49,2,48,1
gozi,23,50,1,49,0
gozi,24,48,5,45,2
gozi,25,49,5,45,1
gozi,26,48,2,48,2
gozi,27,48,3,47,2
gozi,28,48,5,45,2
gozi,29,45,3,47,5
kraken,0,49,0,50,1
kraken,1,49,0,50,1
kraken,2,49,1,49,1
kraken,3,47,0,50,3
kraken,4,49,0,50,1
kraken,5,49,1,49,1
kraken,6,48,0,50,2
kraken,7,49,0,50,1
kraken,8,49,0,50,1
kraken,9,48,0,50,2
kraken,10,50,0,50,0
kraken,11,50,0,50,0
kraken,12,48,0,50,2
kraken,13,49,0,50,1
kraken,14,47,0,50,3
kraken,15,48,0,50,2
kraken,16,49,0,50,1
kraken,17,48,0,50,2
kraken,18,49,0,50,1
kraken,19,50,0,50,0
kraken,20,49,0,50,1
kraken,21,50,0,50,0
kraken,22,49,0,50,1
kraken,23,49,0,50,1
kraken,24,47,1,49,3
kraken,25,49,0,50,1
kraken,26,47,0,50,3
kraken,27,48,0,50,2
kraken,28,48,0,50,2
kraken,29,47,0,50,3
locky,0,50,0,50,0
locky,1,49,1,49,1
locky,2,50,1,49,0
locky,3,47,4,46,3
locky,4,49,3,47,1
locky,5,50,1,49,0
locky,6,48,0,50,2
locky,7,49,2,48,1
locky,8,50,1,49,0
locky,9,48,0,50,2
locky,10,49,1,49,1
locky,11,50,3,47,0
locky,12,49,2,48,1
locky,13,49,1,49,1
locky,14,48,0,50,2
locky,15,49,1,49,1
locky,16,50,1,49,0
locky,17,48,4,46,2
locky,18,49,2,48,1
locky,19,49,0,50,1
locky,20,49,3,47,1
locky,21,50,1,49,0
locky,22,48,0,50,2
locky,23,50,1,49,0
locky,24,47,1,49,3
locky,25,49,1,49,1
locky,26,48,2,48,2
locky,27,50,3,47,0
locky,28,49,2,48,1
locky,29,45,0,50,5
manuelita,0,49,37,13,1
manuelita,1,47,38,12,3
manuelita,2,50,43,7,0
manuelita,3,48,36,14,2
manuelita,4,48,35,15,2
manuelita,5,49,34,16,1
manuelita,6,48,38,12,2
manuelita,7,49,39,11,1
manuelita,8,50,29,21,0
manuelita,9,48,37,13,2
manuelita,10,49,38,12,1
manuelita,11,50,31,19,0
manuelita,12,50,36,14,0
manuelita,13,49,37,13,1
manuelita,14,49,41,9,1
manuelita,15,49,35,15,1
manuelita,16,49,42,8,1
manuelita,17,49,33,17,1
manuelita,18,49,38,12,1
manuelita,19,49,40,10,1
manuelita,20,50,37,13,0
manuelita,21,50,36,14,0
manuelita,22,48,38,12,2
manuelita,23,50,39,11,0
manuelita,24,48,41,9,2
manuelita,25,50,33,17,0
manuelita,26,46,41,9,4
manuelita,27,50,35,15,0
manuelita,28,49,37,13,1
manuelita,29,45,40,10,5
matsnu,0,49,9,41,1
matsnu,1,48,12,38,2
matsnu,2,49,9,41,1
matsnu,3,45,11,39,5
matsnu,4,49,9,41,1
matsnu,5,48,12,38,2
matsnu,6,48,13,37,2
matsnu,7,49,9,41,1
matsnu,8,50,13,37,0
matsnu,9,48,11,39,2
matsnu,10,50,11,39,0
matsnu,11,49,15,35,1
matsnu,12,49,9,41,1
matsnu,13,49,11,39,1
matsnu,14,49,12,38,1
matsnu,15,49,11,39,1
matsnu,16,47,10,40,3
matsnu,17,49,6,44,1
matsnu,18,49,6,44,1
matsnu,19,50,10,40,0
matsnu,20,49,10,40,1
matsnu,21,49,19,31,1
matsnu,22,49,10,40,1
matsnu,23,50,8,42,0
matsnu,24,49,12,38,1
matsnu,25,49,10,40,1
matsnu,26,46,12,38,4
matsnu,27,50,10,40,0
matsnu,28,49,6,44,1
matsnu,29,46,7,43,4
monerominer,0,50,0,50,0
monerominer,1,49,0,50,1
monerominer,2,49,0,50,1
monerominer,3,48,0,50,2
monerominer,4,49,1,49,1
monerominer,5,49,0,50,1
monerominer,6,48,0,50,2
monerominer,7,47,0,50,3
monerominer,8,49,0,50,1
monerominer,9,48,3,47,2
monerominer,10,49,0,50,1
monerominer,11,49,0,50,1
monerominer,12,50,0,50,0
monerominer,13,48,2,48,2
monerominer,14,49,0,50,1
monerominer,15,49,0,50,1
monerominer,16,48,0,50,2
monerominer,17,49,2,48,1
monerominer,18,49,0,50,1
monerominer,19,49,0,50,1
monerominer,20,49,0,50,1
monerominer,21,50,0,50,0
monerominer,22,48,0,50,2
monerominer,23,49,0,50,1
monerominer,24,48,0,50,2
monerominer,25,49,1,49,1
monerominer,26,47,2,48,3
monerominer,27,49,0,50,1
monerominer,28,48,0,50,2
monerominer,29,46,0,50,4
murofet,0,49,0,50,1
murofet,1,49,0,50,1
murofet,2,48,0,50,2
murofet,3,46,0,50,4
murofet,4,49,0,50,1
murofet,5,50,0,50,0
murofet,6,48,0,50,2
murofet,7,49,0,50,1
murofet,8,50,0,50,0
murofet,9,48,0,50,2
murofet,10,50,0,50,0
murofet,11,50,0,50,0
murofet,12,47,0,50,3
murofet,13,49,0,50,1
murofet,14,50,0,50,0
murofet,15,47,0,50,3
murofet,16,48,0,50,2
murofet,17,49,0,50,1
murofet,18,49,0,50,1
murofet,19,49,0,50,1
murofet,20,49,0,50,1
murofet,21,49,0,50,1
murofet,22,49,0,50,1
murofet,23,50,0,50,0
murofet,24,48,0,50,2
murofet,25,49,0,50,1
murofet,26,48,0,50,2
murofet,27,50,0,50,0
murofet,28,49,0,50,1
murofet,29,45,0,50,5
murofetweekly,0,49,0,50,1
murofetweekly,1,49,0,50,1
murofetweekly,2,50,0,50,0
murofetweekly,3,47,0,50,3
murofetweekly,4,49,0,50,1
murofetweekly,5,50,0,50,0
murofetweekly,6,48,0,50,2
murofetweekly,7,47,0,50,3
murofetweekly,8,49,0,50,1
murofetweekly,9,48,0,50,2
murofetweekly,10,49,0,50,1
murofetweekly,11,49,0,50,1
murofetweekly,12,48,0,50,2
murofetweekly,13,49,0,50,1
murofetweekly,14,48,0,50,2
murofetweekly,15,48,0,50,2
murofetweekly,16,50,0,50,0
murofetweekly,17,50,0,50,0
murofetweekly,18,49,0,50,1
murofetweekly,19,49,0,50,1
murofetweekly,20,50,0,50,0
murofetweekly,21,50,0,50,0
murofetweekly,22,47,0,50,3
murofetweekly,23,50,0,50,0
murofetweekly,24,49,0,50,1
murofetweekly,25,49,0,50,1
murofetweekly,26,48,0,50,2
murofetweekly,27,50,0,50,0
murofetweekly,28,49,0,50,1
murofetweekly,29,46,0,50,4
mydoom,0,50,0,50,0
mydoom,1,49,0,50,1
mydoom,2,49,0,50,1
mydoom,3,46,0,50,4
mydoom,4,49,0,50,1
mydoom,5,49,0,50,1
mydoom,6,49,0,50,1
mydoom,7,48,0,50,2
mydoom,8,50,1,49,0
mydoom,9,48,0,50,2
mydoom,10,50,1,49,0
mydoom,11,49,1,49,1
mydoom,12,49,0,50,1
mydoom,13,49,1,49,1
mydoom,14,50,0,50,0
mydoom,15,49,0,50,1
mydoom,16,49,2,48,1
mydoom,17,49,0,50,1
mydoom,18,49,0,50,1
mydoom,19,50,0,50,0
mydoom,20,50,0,50,0
mydoom,21,50,0,50,0
mydoom,22,48,0,50,2
mydoom,23,50,0,50,0
mydoom,24,49,0,50,1
mydoom,25,49,0,50,1
mydoom,26,47,0,50,3
mydoom,27,48,0,50,2
mydoom,28,49,0,50,1
mydoom,29,46,0,50,4
necurs,0,49,1,49,1
necurs,1,50,0,50,0
necurs,2,48,1,49,2
necurs,3,45,0,50,5
necurs,4,48,0,50,2
necurs,5,50,2,48,0
necurs,6,49,0,50,1
necurs,7,48,1,49,2
necurs,8,50,0,50,0
necurs,9,48,0,50,2
necurs,10,50,0,50,0
necurs,11,48,1,49,2
necurs,12,50,0,50,0
necurs,13,48,0,50,2
necurs,14,49,0,50,1
necurs,15,49,0,50,1
necurs,16,48,0,50,2
necurs,17,49,0,50,1
necurs,18,49,1,49,1
necurs,19,49,1,49,1
necurs,20,50,1,49,0
necurs,21,50,0,50,0
necurs,22,49,0,50,1
necurs,23,49,0,50,1
necurs,24,48,0,50,2
necurs,25,49,1,49,1
necurs,26,48,1,49,2
necurs,27,48,1,49,2
necurs,28,49,1,49,1
necurs,29,46,0,50,4
nymaim,0,48,7,43,2
nymaim,1,48,7,43,2
nymaim,2,49,3,47,1
nymaim,3,46,5,45,4
nymaim,4,48,6,44,2
nymaim,5,49,7,43,1
nymaim,6,49,8,42,1
nymaim,7,48,7,43,2
nymaim,8,50,5,45,0
nymaim,9,48,4,46,2
nymaim,10,49,6,44,1
nymaim,11,50,9,41,0
nymaim,12,48,6,44,2
nymaim,13,48,2,48,2
nymaim,14,49,6,44,1
nymaim,15,48,5,45,2
nymaim,16,50,8,42,0
nymaim,17,48,6,44,2
nymaim,18,49,7,43,1
nymaim,19,49,8,42,1
nymaim,20,50,5,45,0
nymaim,21,50,8,42,0
nymaim,22,49,11,39,1
nymaim,23,50,5,45,0
nymaim,24,48,4,46,2
nymaim,25,49,6,44,1
nymaim,26,48,4,46,2
nymaim,27,50,6,44,0
nymaim,28,48,6,44,2
nymaim,29,45,5,45,5
oderoor,0,49,1,49,1
oderoor,1,48,0,50,2
oderoor,2,49,1,49,1
oderoor,3,47,0,50,3
oderoor,4,49,0,50,1
oderoor,5,50,0,50,0
oderoor,6,47,0,50,3
oderoor,7,49,1,49,1
oderoor,8,50,0,50,0
oderoor,9,48,0,50,2
oderoor,10,50,1,49,0
oderoor,11,50,0,50,0
oderoor,12,50,1,49,0
oderoor,13,49,0,50,1
oderoor,14,48,0,50,2
oderoor,15,48,0,50,2
oderoor,16,49,0,50,1
oderoor,17,49,0,50,1
oderoor,18,49,0,50,1
oderoor,19,49,1,49,1
oderoor,20,49,0,50,1
oderoor,21,49,1,49,1
oderoor,22,48,1,49,2
oderoor,23,50,0,50,0
oderoor,24,48,0,50,2
oderoor,25,50,3,47,0
oderoor,26,48,1,49,2
oderoor,27,49,1,49,1
oderoor,28,49,0,50,1
oderoor,29,45,0,50,5
padcrypt,0,49,0,50,1
padcrypt,1,48,0,50,2
padcrypt,2,49,0,50,1
padcrypt,3,47,0,50,3
padcrypt,4,49,0,50,1
padcrypt,5,49,0,50,1
padcrypt,6,48,0,50,2
padcrypt,7,49,0,50,1
padcrypt,8,50,0,50,0
padcrypt,9,48,0,50,2
padcrypt,10,49,0,50,1
padcrypt,11,49,0,50,1
padcrypt,12,49,0,50,1
padcrypt,13,49,0,50,1
padcrypt,14,50,0,50,0
padcrypt,15,47,0,50,3
padcrypt,16,49,0,50,1
padcrypt,17,49,0,50,1
padcrypt,18,50,0,50,0
padcrypt,19,49,0,50,1
padcrypt,20,49,0,50,1
padcrypt,21,50,0,50,0
padcrypt,22,48,0,50,2
padcrypt,23,50,0,50,0
padcrypt,24,47,0,50,3
padcrypt,25,49,0,50,1
padcrypt,26,46,0,50,4
padcrypt,27,48,0,50,2
padcrypt,28,48,0,50,2
padcrypt,29,47,0,50,3
pitou,0,48,6,44,2
pitou,1,47,7,43,3
pitou,2,49,4,46,1
pitou,3,48,1,49,2
pitou,4,49,2,48,1
pitou,5,50,0,50,0
pitou,6,47,9,41,3
pitou,7,49,11,39,1
pitou,8,50,0,50,0
pitou,9,48,11,39,2
pitou,10,49,16,34,1
pitou,11,49,0,50,1
pitou,12,49,8,42,1
pitou,13,49,9,41,1
pitou,14,49,0,50,1
pitou,15,48,5,45,2
pitou,16,48,17,33,2
pitou,17,50,1,49,0
pitou,18,50,7,43,0
pitou,19,50,7,43,0
pitou,20,49,3,47,1
pitou,21,49,1,49,1
pitou,22,49,16,34,1
pitou,23,49,1,49,1
pitou,24,47,4,46,3
pitou,25,49,9,41,1
pitou,26,49,9,41,1
pitou,27,50,1,49,0
pitou,28,48,19,31,2
pitou,29,46,0,50,4
proslikefan,0,49,2,48,1
proslikefan,1,47,4,46,3
proslikefan,2,49,4,46,1
proslikefan,3,46,1,49,4
proslikefan,4,49,2,48,1
proslikefan,5,50,2,48,0
proslikefan,6,49,2,48,1
proslikefan,7,50,5,45,0
proslikefan,8,49,5,45,1
proslikefan,9,48,2,48,2
proslikefan,10,49,3,47,1
proslikefan,11,48,1,49,2
proslikefan,12,47,6,44,3
proslikefan,13,48,3,47,2
proslikefan,14,48,5,45,2
proslikefan,15,48,4,46,2
proslikefan,16,47,4,46,3
proslikefan,17,49,2,48,1
proslikefan,18,49,2,48,1
proslikefan,19,49,3,47,1
proslikefan,20,50,0,50,0
proslikefan,21,50,4,46,0
proslikefan,22,49,1,49,1
proslikefan,23,50,3,47,0
proslikefan,24,49,2,48,1
proslikefan,25,49,5,45,1
proslikefan,26,49,3,47,1
proslikefan,27,50,2,48,0
proslikefan,28,49,3,47,1
proslikefan,29,46,3,47,4
pushdo,0,50,1,49,0
pushdo,1,49,3,47,1
pushdo,2,49,2,48,1
pushdo,3,48,2,48,2
pushdo,4,49,2,48,1
pushdo,5,49,3,47,1
pushdo,6,48,5,45,2
pushdo,7,48,3,47,2
pushdo,8,50,4,46,0
pushdo,9,48,4,46,2
pushdo,10,49,1,49,1
pushdo,11,49,5,45,1
pushdo,12,49,2,48,1
pushdo,13,49,3,47,1
pushdo,14,49,4,46,1
pushdo,15,49,2,48,1
pushdo,16,48,6,44,2
pushdo,17,50,2,48,0
pushdo,18,49,1,49,1
pushdo,19,49,2,48,1
pushdo,20,49,0,50,1
pushdo,21,49,0,50,1
pushdo,22,48,0,50,2
pushdo,23,50,2,48,0
pushdo,24,49,3,47,1
pushdo,25,49,3,47,1
